Husband_takes_drug,Media_usage,d101e,husband_drinks_alcohol,d121,wife_afraid_hasband,women_age,region,residence,v106,religion,ethnicity,no_of_H_members,age_H_head,wealth_Index,total_children_ever_born,currently_pregnant,No_of_living_children,number_of_other_wives,marital_duration,husband_education,husbands_occupation,,IPV 
1,0,0,0,0,0,5,5,2,0,2,5,0,35,0,4,1,3,0,26,0,30,,0
1,1,0,0,1,1,1,5,2,2,2,5,1,53,0,0,0,0,0,14,0,30,,0
1,1,0,0,0,1,5,5,2,0,2,5,1,35,0,7,0,7,1,20,0,26,,2
1,0,1,0,0,1,4,3,2,0,2,1,1,40,1,5,0,5,0,11,0,33,,2
1,0,1,0,1,1,2,3,2,0,2,1,0,26,1,1,0,1,0,16,1,30,,1
1,0,0,1,0,1,3,3,2,0,0,1,0,40,1,3,1,2,0,13,1,5,,1
1,1,1,1,0,0,2,3,2,1,2,1,0,26,0,2,0,2,0,17,1,33,,0
1,0,0,1,0,1,5,3,2,0,2,1,0,42,1,5,0,4,1,11,1,34,,1
1,0,0,0,1,1,4,3,2,0,2,1,0,36,0,5,0,4,0,13,0,30,,1
1,0,0,0,1,1,4,3,2,0,2,1,0,48,2,3,0,2,0,12,1,4,,0
1,0,0,0,0,0,4,3,2,0,2,1,0,50,1,4,0,4,0,12,0,33,,0
1,0,1,0,0,1,5,3,2,0,2,1,0,35,2,4,0,4,0,23,0,33,,0
1,1,1,0,1,0,4,7,2,1,0,2,1,30,2,7,0,7,0,18,1,5,,2
1,0,0,1,0,1,2,7,2,1,1,7,0,30,1,2,0,2,0,15,0,33,,1
1,1,0,0,0,0,3,7,2,3,1,7,0,30,2,2,1,2,0,19,2,30,,0
1,0,1,0,0,1,5,7,2,1,1,7,1,41,2,6,0,6,0,12,1,33,,1
1,0,0,0,0,0,5,7,2,0,1,7,1,40,2,5,0,5,0,18,1,1,,0
1,0,1,0,0,0,2,7,2,1,1,7,0,80,0,2,0,2,0,16,1,1,,0
1,0,1,0,0,1,6,7,2,0,1,7,1,65,2,8,0,6,0,18,0,33,,1
1,1,1,1,0,0,3,7,2,1,0,7,0,30,0,2,1,2,0,18,0,30,,4
1,0,0,0,0,0,3,7,2,0,1,7,1,43,2,5,0,5,0,13,0,1,,0
